customer_id,legal_name,mock_tax_id,industry_code,industry_version,incorporation_date,legal_address,representative_party_id,related_party_ids,as_of_date,synthetic_flag
CUS-00001,CONG TY TNHH MOCK SAN XUAT THUC PHAM 001,MOCK-TAX-0718-00001,C101,VSIC-2025,2013-02-02,"So 101 Duong Mock 2, Ha Noi",PTY-00010,['PTY-00011'],2026-06-30,True
CUS-00002,CONG TY TNHH MOCK MAY MAC 002,MOCK-TAX-0718-00002,C141,VSIC-2025,2014-03-03,"So 102 Duong Mock 3, Ha Noi",PTY-00020,['PTY-00021'],2026-06-30,True
CUS-00003,CONG TY TNHH MOCK CHE BIEN GO 003,MOCK-TAX-0718-00003,C162,VSIC-2025,2015-04-04,"So 103 Duong Mock 4, Ha Noi",PTY-00030,['PTY-00031'],2026-06-30,True
CUS-00004,CONG TY TNHH MOCK XAY DUNG 004,MOCK-TAX-0718-00004,F410,VSIC-2025,2016-05-05,"So 104 Duong Mock 5, Ha Noi",PTY-00040,['PTY-00041'],2026-06-30,True
CUS-00005,CONG TY TNHH MOCK BAN BUON 005,MOCK-TAX-0718-00005,G461,VSIC-2025,2017-06-06,"So 105 Duong Mock 6, Ha Noi",PTY-00050,['PTY-00051'],2026-06-30,True
CUS-00006,CONG TY TNHH MOCK BAN LE 006,MOCK-TAX-0718-00006,G471,VSIC-2025,2018-07-07,"So 106 Duong Mock 7, Ha Noi",PTY-00060,['PTY-00061'],2026-06-30,True
CUS-00007,CONG TY TNHH MOCK VAN TAI 007,MOCK-TAX-0718-00007,H493,VSIC-2025,2019-08-08,"So 107 Duong Mock 8, Ha Noi",PTY-00070,['PTY-00071'],2026-06-30,True
CUS-00008,CONG TY TNHH MOCK LUU TRU 008,MOCK-TAX-0718-00008,I551,VSIC-2025,2020-09-09,"So 108 Duong Mock 9, Ha Noi",PTY-00080,['PTY-00081'],2026-06-30,True
CUS-00009,CONG TY TNHH MOCK LAP TRINH 009,MOCK-TAX-0718-00009,J620,VSIC-2025,2021-10-10,"So 109 Duong Mock 10, Ha Noi",PTY-00090,['PTY-00091'],2026-06-30,True
CUS-00010,CONG TY TNHH MOCK TU VAN 010,MOCK-TAX-0718-00010,M702,VSIC-2025,2022-11-11,"So 110 Duong Mock 11, Ha Noi",PTY-00100,['PTY-00101'],2026-06-30,True
CUS-00011,CONG TY TNHH MOCK CUNG UNG LAO DONG 011,MOCK-TAX-0718-00011,N782,VSIC-2025,2012-12-12,"So 111 Duong Mock 12, Ha Noi",PTY-00110,['PTY-00111'],2026-06-30,True
